Date,Seasonally Adjusted
1/3/2009,503000
1/10/2009,551000
1/17/2009,591000
1/24/2009,586000
1/31/2009,629000
2/7/2009,637000
2/14/2009,632000
2/21/2009,655000
2/28/2009,652000
3/7/2009,660000
3/14/2009,651000
3/21/2009,661000
3/28/2009,665000
4/4/2009,653000
4/11/2009,599000
4/18/2009,639000
4/25/2009,620000
5/2/2009,602000
5/9/2009,625000
5/16/2009,620000
5/23/2009,606000
5/30/2009,607000
6/6/2009,596000
6/13/2009,595000
6/20/2009,608000
6/27/2009,594000
7/4/2009,573000
7/11/2009,546000
7/18/2009,560000
7/25/2009,587000
8/1/2009,555000
8/8/2009,555000
8/15/2009,562000
8/22/2009,560000
8/29/2009,564000
9/5/2009,558000
9/12/2009,542000
9/19/2009,536000
9/26/2009,554000
10/3/2009,533000
10/10/2009,511000
10/17/2009,531000
10/24/2009,530000
10/31/2009,522000
11/7/2009,512000
11/14/2009,507000
11/21/2009,482000
11/28/2009,475000
12/5/2009,497000
12/12/2009,498000
12/19/2009,479000
12/26/2009,468000
1/2/2010,456000
1/9/2010,469000
1/16/2010,507000
1/23/2010,471000
1/30/2010,496000
2/6/2010,466000
2/13/2010,489000
2/20/2010,500000
2/27/2010,488000
3/6/2010,472000
3/13/2010,478000
3/20/2010,472000
3/27/2010,459000
4/3/2010,479000
4/10/2010,479000
4/17/2010,469000
4/24/2010,449000
5/1/2010,451000
5/8/2010,451000
5/15/2010,474000
5/22/2010,463000
5/29/2010,458000
6/5/2010,459000
6/12/2010,467000
6/19/2010,452000
6/26/2010,464000
7/3/2010,454000
7/10/2010,439000
7/17/2010,462000
7/24/2010,465000
7/31/2010,476000
8/7/2010,483000
8/14/2010,486000
8/21/2010,464000
8/28/2010,467000
9/4/2010,452000
9/11/2010,444000
9/18/2010,459000
9/25/2010,459000
10/2/2010,446000
10/9/2010,459000
10/16/2010,444000
10/23/2010,432000
10/30/2010,453000
11/6/2010,434000
11/13/2010,432000
11/20/2010,407000
11/27/2010,432000
12/4/2010,428000
12/11/2010,425000
12/18/2010,424000
12/25/2010,404000
1/1/2011,413000
1/8/2011,434000
1/15/2011,421000
1/22/2011,446000
1/29/2011,420000
2/5/2011,402000
2/12/2011,425000
2/19/2011,394000
2/26/2011,385000
3/5/2011,414000
3/12/2011,404000
3/19/2011,407000
3/26/2011,399000
4/2/2011,395000
4/9/2011,416000
4/16/2011,402000
4/23/2011,422000
4/30/2011,468000
5/7/2011,435000
5/14/2011,414000
5/21/2011,423000
5/28/2011,418000
6/4/2011,423000
6/11/2011,413000
6/18/2011,416000
6/25/2011,421000
7/2/2011,418000
7/9/2011,408000
7/16/2011,420000
7/23/2011,411000
7/30/2011,406000
8/6/2011,405000
8/13/2011,409000
8/20/2011,415000
8/27/2011,409000
9/3/2011,414000
9/10/2011,429000
9/17/2011,422000
9/24/2011,406000
10/1/2011,405000
10/8/2011,410000
10/15/2011,395000
10/22/2011,403000
10/29/2011,399000
11/5/2011,392000
11/12/2011,383000
11/19/2011,385000
11/26/2011,397000
12/3/2011,387000
12/10/2011,368000
12/17/2011,368000
12/24/2011,386000
12/31/2011,376000
1/7/2012,391000
1/14/2012,367000
1/21/2012,381000
1/28/2012,372000
2/4/2012,368000
2/11/2012,361000
2/18/2012,359000
2/25/2012,365000
3/3/2012,375000
3/10/2012,369000
3/17/2012,368000
3/24/2012,363000
3/31/2012,358000
4/7/2012,387000
4/14/2012,381000
4/21/2012,387000
4/28/2012,372000
5/5/2012,373000
5/12/2012,369000
5/19/2012,371000
5/26/2012,381000
6/2/2012,377000
6/9/2012,383000
6/16/2012,384000
6/23/2012,380000
6/30/2012,372000
7/7/2012,360000
7/14/2012,390000
7/21/2012,368000
7/28/2012,372000
8/4/2012,371000
8/11/2012,369000
8/18/2012,376000
8/25/2012,377000
9/1/2012,371000
9/8/2012,393000
9/15/2012,392000
9/22/2012,377000
9/29/2012,376000
10/6/2012,350000
10/13/2012,386000
10/20/2012,374000
10/27/2012,364000
11/3/2012,365000
11/10/2012,446000
11/17/2012,406000
11/24/2012,388000
12/1/2012,375000
12/8/2012,340000
12/15/2012,356000
12/22/2012,362000
12/29/2012,362000
1/5/2013,363000
1/12/2013,344000
1/19/2013,339000
1/26/2013,366000
2/2/2013,361000
2/9/2013,347000
2/16/2013,362000
2/23/2013,342000
3/2/2013,340000
3/9/2013,343000
3/16/2013,343000
3/23/2013,358000
3/30/2013,375000
4/6/2013,359000
4/13/2013,356000
4/20/2013,343000
4/27/2013,331000
5/4/2013,335000
5/11/2013,360000
5/18/2013,343000
5/25/2013,353000
6/1/2013,346000
6/8/2013,337000
6/15/2013,353000
6/22/2013,347000
6/29/2013,340000
7/6/2013,351000
7/13/2013,344000
7/20/2013,355000
7/27/2013,334000
8/3/2013,339000
8/10/2013,327000
8/17/2013,340000
8/24/2013,336000
8/31/2013,325000
9/7/2013,300000
9/14/2013,323000
9/21/2013,314000
9/28/2013,319000
10/5/2013,368000
10/12/2013,368000
10/19/2013,351000
10/26/2013,347000
11/2/2013,342000
11/9/2013,340000
11/16/2013,331000
11/23/2013,316000
11/30/2013,312000
12/7/2013,354000
12/14/2013,364000
12/21/2013,334000
12/28/2013,332000
